Feature,Coefficient,Abs_Coefficient,Odds_Ratio
tfidf_component_14,-0.46197407134961066,0.46197407134961066,0.6300386757826844
tfidf_component_1,-0.34518499579581424,0.34518499579581424,0.708089347798021
tfidf_component_23,-0.2701635190794251,0.2701635190794251,0.7632546774299382
tfidf_component_16,0.2695006731192832,0.2695006731192832,1.3093105135480074
Length_word,0.2594521922627963,0.2594521922627963,1.2962198128941802
body_len,0.2594521922627963,0.2594521922627963,1.2962198128941802
rule_encoded,-0.24467408548442018,0.24467408548442018,0.7829596745863521
tfidf_component_31,0.22435192247447894,0.22435192247447894,1.2515113769185724
tfidf_component_47,-0.21954225968181507,0.21954225968181507,0.8028862272595934
tfidf_component_20,0.21245431784942304,0.21245431784942304,1.2367096167199148
tfidf_component_17,-0.21135553118977266,0.21135553118977266,0.8094862181164699
tfidf_component_21,-0.20320895288451352,0.20320895288451352,0.8161076955511452
tfidf_component_2,0.18431747298442347,0.18431747298442347,1.202397491228439
tfidf_component_25,-0.17602152410143082,0.17602152410143082,0.8385999330327979
tfidf_component_26,-0.155576619442045,0.155576619442045,0.8559214941891856
tfidf_component_78,0.14890780569465376,0.14890780569465376,1.160565986701698
posScore,0.14751897512993487,0.14751897512993487,1.158955275948058
tfidf_component_53,-0.14663338221082528,0.14663338221082528,0.8636105343698872
tfidf_component_48,0.13922063564957726,0.13922063564957726,1.1493776657176435
tfidf_component_86,-0.1388901660540111,0.1388901660540111,0.8703236142857155
tfidf_component_65,0.1384900609479483,0.1384900609479483,1.148538266131839
tfidf_component_45,0.13326009942259578,0.13326009942259578,1.1425471355368528
tfidf_component_34,-0.12996082541652423,0.12996082541652423,0.8781298306171121
tfidf_component_80,0.1252699801962539,0.1252699801962539,1.1334544220094893
tfidf_component_29,0.1218517201320643,0.1218517201320643,1.1295865944105992
NegWords,-0.12136427806209948,0.12136427806209948,0.8857112556396747
tfidf_component_46,-0.1207530593508433,0.1207530593508433,0.8862527844112917
tfidf_component_27,0.119014473839478,0.119014473839478,1.1263862213037263
tfidf_component_30,-0.11756176907218475,0.11756176907218475,0.8890855920581822
tfidf_component_7,0.11557789888546671,0.11557789888546671,1.1225219543516594
tfidf_component_81,0.11531878173703454,0.11531878173703454,1.1222311273445549
tfidf_component_15,0.11302687342083817,0.11302687342083817,1.119662021692996
subreddit_encoded,0.11291081129537925,0.11291081129537925,1.119532078879828
tfidf_component_71,0.11223238394924238,0.11223238394924238,1.1187728152843532
tfidf_component_98,0.10952596309916336,0.10952596309916336,1.115749038862035
tfidf_component_91,-0.10851337429792055,0.10851337429792055,0.8971668957593834
tfidf_component_87,-0.1074835848653661,0.1074835848653661,0.8980912646188272
tfidf_component_85,0.10732636609725195,0.10732636609725195,1.1132975377669079
tfidf_component_18,0.10582174016048047,0.10582174016048047,1.111623700981144
tfidf_component_67,0.09904656818367033,0.09904656818367033,1.1041177151182593
tfidf_component_35,-0.09377659741764842,0.09377659741764842,0.9104861444777342
tfidf_component_82,0.0929736808408863,0.0929736808408863,1.0974328513781517
tfidf_component_89,0.08964367737470298,0.08964367737470298,1.0937844741050224
ContainsLink,0.08576019591098268,0.08576019591098268,1.0895450196240615
tfidf_component_68,-0.08455469695423005,0.08455469695423005,0.9189213918009036
tfidf_component_69,-0.08363266712545732,0.08363266712545732,0.919769055459978
tfidf_component_51,-0.08322942322321215,0.08322942322321215,0.9201400215129386
tfidf_component_39,0.08302216135468259,0.08302216135468259,1.086565888053451
SentimentScore,-0.08082412139173975,0.08082412139173975,0.922355899851682
tfidf_component_37,0.07925450402892732,0.07925450402892732,1.0824797824818095
tfidf_component_93,-0.07849182957111885,0.07849182957111885,0.9245096135407423
tfidf_component_99,0.07791209365055383,0.07791209365055383,1.0810276253009354
tfidf_component_43,-0.07770587774687357,0.07770587774687357,0.9252365191770238
tfidf_component_60,-0.07753138281692025,0.07753138281692025,0.9253979823454702
tfidf_component_10,-0.07491489471435589,0.07491489471435589,0.9278224455628378
tfidf_component_58,0.07293827486407885,0.07293827486407885,1.0756641393503183
tfidf_component_100,-0.07114299862950262,0.07114299862950262,0.9313287038766795
tfidf_component_44,-0.07081414057072759,0.07081414057072759,0.9316350291923315
tfidf_component_33,-0.07033913298035187,0.07033913298035187,0.9320776680227372
tfidf_component_75,-0.06835346733884226,0.06835346733884226,0.933930301369816
tfidf_component_63,0.06820485709900609,0.06820485709900609,1.0705846028719859
tfidf_component_28,0.06759534332259344,0.06759534332259344,1.069932265632183
tfidf_component_97,-0.06737657903952378,0.06737657903952378,0.9348430927286118
tfidf_component_61,0.06651352356237365,0.06651352356237365,1.0687754176284652
tfidf_component_59,-0.0664217552308243,0.0664217552308243,0.9357361294494612
tfidf_component_55,0.06557169401355632,0.06557169401355632,1.0677692872351336
